item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,source_item_name,source_wav_path,anchor_label,anchor_event_type,event_start_time,event_end_time,event_duration,event_mix_prob,event_mix_margin,event_mean_pitch_hz,event_chest_prob,event_falsetto_prob,clip_start_time,clip_end_time,event_offset_start_time,event_offset_end_time,event_coverage_ratio,pair_positive_item_name,pair_distance
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000#eventpair#best_voice_event,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\curated\mix_binary_eventpair_chongbai0000_v1\snippets\positive_mix\001_ac8c087f89.wav,ml_dl_models/gtsinger_multitech/dataset/curated/mix_binary_eventpair_chongbai0000_v1/snippets/positive_mix/001_ac8c087f89.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,best_voice_event,falsetto,0.0,6.650023,6.650023,0.480251,0.005251,450.458405,0.046446,0.953554,2.124989,4.524989,0.0,2.4,0.360901,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,0.0
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000#eventpair#best_voice_event,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\curated\mix_binary_eventpair_chongbai0000_v1\snippets\positive_mix\001_ac8c087f89.wav,ml_dl_models/gtsinger_multitech/dataset/curated/mix_binary_eventpair_chongbai0000_v1/snippets/positive_mix/001_ac8c087f89.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,best_voice_event,falsetto,0.0,6.650023,6.650023,0.480251,0.005251,450.458405,0.046446,0.953554,2.124989,4.524989,0.0,2.4,0.360901,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,0.0
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000#eventpair#best_voice_event,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\curated\mix_binary_eventpair_chongbai0000_v1\snippets\positive_mix\001_ac8c087f89.wav,ml_dl_models/gtsinger_multitech/dataset/curated/mix_binary_eventpair_chongbai0000_v1/snippets/positive_mix/001_ac8c087f89.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,best_voice_event,falsetto,0.0,6.650023,6.650023,0.480251,0.005251,450.458405,0.046446,0.953554,2.124989,4.524989,0.0,2.4,0.360901,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,0.0
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000#eventpair#best_voice_event,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\curated\mix_binary_eventpair_chongbai0000_v1\snippets\positive_mix\001_ac8c087f89.wav,ml_dl_models/gtsinger_multitech/dataset/curated/mix_binary_eventpair_chongbai0000_v1/snippets/positive_mix/001_ac8c087f89.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,best_voice_event,falsetto,0.0,6.650023,6.650023,0.480251,0.005251,450.458405,0.046446,0.953554,2.124989,4.524989,0.0,2.4,0.360901,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,0.0
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000#eventpair#best_voice_event,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\curated\mix_binary_eventpair_chongbai0000_v1\snippets\positive_mix\001_ac8c087f89.wav,ml_dl_models/gtsinger_multitech/dataset/curated/mix_binary_eventpair_chongbai0000_v1/snippets/positive_mix/001_ac8c087f89.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,best_voice_event,falsetto,0.0,6.650023,6.650023,0.480251,0.005251,450.458405,0.046446,0.953554,2.124989,4.524989,0.0,2.4,0.360901,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,0.0
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000#eventpair#best_voice_event,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\curated\mix_binary_eventpair_chongbai0000_v1\snippets\positive_mix\001_ac8c087f89.wav,ml_dl_models/gtsinger_multitech/dataset/curated/mix_binary_eventpair_chongbai0000_v1/snippets/positive_mix/001_ac8c087f89.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,best_voice_event,falsetto,0.0,6.650023,6.650023,0.480251,0.005251,450.458405,0.046446,0.953554,2.124989,4.524989,0.0,2.4,0.360901,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,0.0
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000#eventpair#best_voice_event,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\curated\mix_binary_eventpair_chongbai0000_v1\snippets\positive_mix\001_ac8c087f89.wav,ml_dl_models/gtsinger_multitech/dataset/curated/mix_binary_eventpair_chongbai0000_v1/snippets/positive_mix/001_ac8c087f89.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,best_voice_event,falsetto,0.0,6.650023,6.650023,0.480251,0.005251,450.458405,0.046446,0.953554,2.124989,4.524989,0.0,2.4,0.360901,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,0.0
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000#eventpair#best_voice_event,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\curated\mix_binary_eventpair_chongbai0000_v1\snippets\positive_mix\001_ac8c087f89.wav,ml_dl_models/gtsinger_multitech/dataset/curated/mix_binary_eventpair_chongbai0000_v1/snippets/positive_mix/001_ac8c087f89.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,best_voice_event,falsetto,0.0,6.650023,6.650023,0.480251,0.005251,450.458405,0.046446,0.953554,2.124989,4.524989,0.0,2.4,0.360901,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,0.0
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000#eventpair#best_voice_event,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\curated\mix_binary_eventpair_chongbai0000_v1\snippets\positive_mix\001_ac8c087f89.wav,ml_dl_models/gtsinger_multitech/dataset/curated/mix_binary_eventpair_chongbai0000_v1/snippets/positive_mix/001_ac8c087f89.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,best_voice_event,falsetto,0.0,6.650023,6.650023,0.480251,0.005251,450.458405,0.046446,0.953554,2.124989,4.524989,0.0,2.4,0.360901,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,0.0
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000#eventpair#best_voice_event,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\curated\mix_binary_eventpair_chongbai0000_v1\snippets\positive_mix\001_ac8c087f89.wav,ml_dl_models/gtsinger_multitech/dataset/curated/mix_binary_eventpair_chongbai0000_v1/snippets/positive_mix/001_ac8c087f89.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,best_voice_event,falsetto,0.0,6.650023,6.650023,0.480251,0.005251,450.458405,0.046446,0.953554,2.124989,4.524989,0.0,2.4,0.360901,Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,0.0
