tra_acc_list,val_acc_list,lr_list
36.4613880742913,34.375,0.001
60.50830889540567,55.46875,0.001
65.39589442815249,62.5,0.001
71.35874877810362,75.78125,0.001
76.24633431085044,69.53125,0.001
62.4633431085044,68.75,0.001
78.88563049853371,85.15625,0.001
83.67546432062561,82.03125,0.001
80.74291300097751,82.8125,0.001
90.32258064516128,83.59375,0.001
93.64613880742912,87.5,0.001
94.3304007820137,92.1875,0.001
88.56304985337243,85.15625,0.001
93.25513196480938,87.5,0.001
94.91691104594331,94.53125,0.001
91.20234604105572,84.375,0.001
96.18768328445748,90.625,0.001
94.23264907135875,92.1875,0.001
96.28543499511241,95.3125,0.001
96.38318670576736,90.625,0.001
92.37536656891496,93.75,0.001
98.04496578690127,95.3125,0.001
98.1427174975562,92.1875,0.001
99.21798631476051,96.875,0.0001
99.41348973607037,95.3125,0.0001
99.60899315738025,96.09375,0.0001
99.80449657869013,96.875,0.0001
99.80449657869013,96.875,0.0001
99.70674486803519,97.65625,0.0001
99.80449657869013,96.875,0.0001
99.60899315738025,94.53125,0.0001
99.70674486803519,97.65625,0.0001
100.0,95.3125,0.0001
99.80449657869013,96.09375,0.0001
99.90224828934507,97.65625,0.0001
100.0,97.65625,0.0001
99.80449657869013,96.09375,0.0001
99.80449657869013,98.4375,0.0001
99.90224828934507,96.09375,1e-05
99.80449657869013,96.875,1e-05
