epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_threshold,lr
1,head,0.699821,0.611111,0.633439,0.674359,0.645006,0.645655,0.544803,0.550725,0.539007,0.425,0.001
2,head,0.642135,0.63922,0.640089,0.651282,0.642314,0.635153,0.558442,0.51497,0.609929,0.475,0.00093301
3,head,0.627339,0.650794,0.623234,0.661538,0.64727,0.6425,0.56,0.528302,0.595745,0.475,0.00075
4,head,0.627266,0.657077,0.612486,0.669231,0.66406,0.655078,0.585209,0.535294,0.64539,0.45,0.0005
5,head,0.626231,0.65377,0.610203,0.666667,0.665129,0.654218,0.588608,0.531429,0.659574,0.45,0.00025
6,head,0.619449,0.670966,0.600108,0.684615,0.676109,0.668887,0.596721,0.554878,0.64539,0.425,6.699e-05
7,finetune,0.658676,0.628968,0.634315,0.582051,0.615782,0.581057,0.560647,0.452174,0.737589,0.35,0.0002
8,finetune,0.637598,0.631283,0.6117,0.607692,0.654319,0.607628,0.602597,0.47541,0.822695,0.4,0.00019239
9,finetune,0.640247,0.631944,0.620287,0.669231,0.668675,0.657221,0.59306,0.534091,0.666667,0.45,0.00017071
10,finetune,0.612691,0.668981,0.60864,0.705128,0.695249,0.688928,0.61794,0.58125,0.659574,0.475,0.00013827
11,finetune,0.597077,0.704365,0.58014,0.710256,0.700803,0.694338,0.624585,0.5875,0.666667,0.475,0.0001
12,finetune,0.5828,0.702712,0.554763,0.730769,0.707639,0.707957,0.626335,0.628571,0.624113,0.425,6.173e-05
13,finetune,0.563486,0.727513,0.54952,0.651282,0.696146,0.650952,0.640212,0.510549,0.858156,0.3,2.929e-05
14,finetune,0.554617,0.729167,0.545809,0.697436,0.706144,0.689062,0.638037,0.562162,0.737589,0.35,7.61e-06
