epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_f1,val_threshold,lr
1,head,0.48757081469710994,0.7826530612244897,0.4129249686412966,0.7773279352226721,0.7853299492385787,0.5733333333333334,0.175,0.0009755282581475768
2,head,0.44053725350876244,0.7969387755102041,0.3925674689202174,0.7854251012145749,0.8029441624365482,0.5945945945945946,0.15,0.0009045084971874736
3,head,0.42970651388168335,0.8071428571428572,0.370999911294775,0.805668016194332,0.8050253807106599,0.5802469135802469,0.125,0.0007938926261462366
4,head,0.4056429359377647,0.811734693877551,0.3706261201908714,0.8016194331983806,0.8059390862944162,0.6212121212121212,0.27499999999999997,0.0006545084971874737
5,head,0.38379699940584144,0.8306122448979592,0.36372320939172137,0.7894736842105263,0.815482233502538,0.6081081081081081,0.22499999999999998,0.0005
6,head,0.3965493316553077,0.8112244897959183,0.3592620156554558,0.8259109311740891,0.8129441624365482,0.6040268456375839,0.24999999999999997,0.00034549150281252633
7,head,0.39000911177421105,0.8321428571428572,0.3485842821327781,0.8340080971659919,0.8151776649746192,0.5949367088607594,0.175,0.0002061073738537635
8,head,0.38599811062520867,0.8275510204081633,0.3482031676209407,0.8380566801619433,0.8177157360406091,0.5987261146496815,0.19999999999999998,9.549150281252634e-05
9,head,0.38577678325224896,0.8301020408163265,0.3426828883920121,0.8461538461538461,0.8175634517766497,0.5925925925925926,0.15,2.4471741852423235e-05
10,head,0.3834998352795231,0.8397959183673469,0.3442804450206911,0.8461538461538461,0.8201015228426396,0.5962732919254659,0.175,0.0
1,finetune,0.49337109777392174,0.7918367346938775,0.4111689593386554,0.805668016194332,0.7756345177664975,0.5755395683453237,0.15,0.00019781476007338058
2,finetune,0.423847117411847,0.8081632653061225,0.4639844904061754,0.7975708502024291,0.7605583756345178,0.5571428571428572,0.1,0.0001913545457642601
3,finetune,0.4184635459160318,0.8142857142857143,0.36197391562616293,0.8178137651821862,0.8138578680203046,0.6554621848739496,0.27499999999999997,0.00018090169943749476
4,finetune,0.3903640775048003,0.814795918367347,0.3628264624580198,0.8178137651821862,0.8335532994923858,0.6564885496183206,0.22499999999999998,0.00016691306063588583
5,finetune,0.39923457393840867,0.8290816326530612,0.37831180020865157,0.8421052631578947,0.8113197969543147,0.65,0.32499999999999996,0.00015000000000000001
6,finetune,0.3824232187198133,0.8306122448979592,0.3815581185011729,0.8137651821862348,0.8283248730964468,0.6376811594202898,0.1,0.00013090169943749476
7,finetune,0.3743145480447886,0.8331632653061225,0.31377997342874164,0.8623481781376519,0.8465482233502537,0.7068965517241379,0.24999999999999997,0.00011045284632676538
8,finetune,0.3690102627082747,0.835204081632653,0.3189033097342441,0.8704453441295547,0.8107106598984771,0.6142857142857143,0.22499999999999998,8.954715367323469e-05
9,finetune,0.34313708379560587,0.8331632653061225,0.31311883267603424,0.8663967611336032,0.8334010152284264,0.6470588235294118,0.175,6.909830056250529e-05
10,finetune,0.32868889959491027,0.8561224489795919,0.3034731947217393,0.8906882591093117,0.8337055837563452,0.6666666666666666,0.27499999999999997,5.0000000000000036e-05
11,finetune,0.30986332869043154,0.8581632653061224,0.31172452088792313,0.8502024291497976,0.8265482233502538,0.6842105263157895,0.19999999999999998,3.308693936411422e-05
12,finetune,0.30666749136788507,0.8698979591836735,0.3011492185505778,0.8785425101214575,0.8189340101522843,0.6666666666666666,0.24999999999999997,1.909830056250527e-05
13,finetune,0.30825076010458324,0.8612244897959184,0.3034124686891733,0.8825910931174089,0.8226395939086294,0.6,0.125,8.645454235739904e-06
14,finetune,0.2950919909136636,0.8714285714285714,0.301924692052096,0.8623481781376519,0.830253807106599,0.6114649681528662,0.1,2.185239926619432e-06
15,finetune,0.29386089529309956,0.8647959183673469,0.301320390903998,0.8785425101214575,0.8230964467005076,0.6206896551724138,0.15,0.0
