tra_acc_list,val_acc_list,lr_list
31.176470588235293,28.90625,0.001
33.23529411764706,40.625,0.001
35.0,39.0625,0.001
36.96078431372549,44.53125,0.001
43.431372549019606,45.3125,0.001
44.31372549019608,40.625,0.001
48.8235294117647,49.21875,0.001
49.01960784313725,50.0,0.001
52.54901960784314,50.78125,0.001
54.2156862745098,60.15625,0.001
56.568627450980394,59.375,0.001
60.09803921568627,57.8125,0.001
62.94117647058823,65.625,0.001
65.68627450980392,62.5,0.001
66.86274509803921,62.5,0.001
74.80392156862746,75.0,0.001
74.01960784313727,67.1875,0.001
78.13725490196079,69.53125,0.001
78.43137254901961,78.125,0.001
82.94117647058825,75.0,0.001
79.01960784313725,71.875,0.001
86.1764705882353,75.78125,0.001
87.3529411764706,82.03125,0.001
82.15686274509804,77.34375,0.001
88.72549019607843,83.59375,0.001
91.27450980392156,80.46875,0.001
89.2156862745098,82.8125,0.001
90.09803921568627,84.375,0.001
94.01960784313725,85.15625,0.001
92.74509803921569,86.71875,0.001
94.80392156862744,92.96875,0.001
92.54901960784314,82.8125,0.001
96.17647058823529,89.84375,0.0001
95.88235294117648,90.625,0.0001
96.96078431372548,90.625,0.0001
96.96078431372548,86.71875,0.0001
97.25490196078431,88.28125,0.0001
98.72549019607844,92.96875,0.0001
99.01960784313727,89.84375,0.0001
98.0392156862745,91.40625,0.0001
