epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.652429,0.629666,0.61333,0.727034,0.673626,0.680802,0.559322,0.694737,0.468085,0.444444,0.267857,0.081633,0.058824,0.468085,0.102564,0.081633,0.064103,0.780745,False,0.35,0.001
2,head,0.647088,0.639162,0.593171,0.692913,0.658245,0.661539,0.558491,0.596774,0.524823,0.535354,0.366071,0.061224,0.082353,0.524823,0.269231,0.061224,0.076923,0.73738,False,0.45,0.00085355
3,head,0.639032,0.648657,0.584395,0.732283,0.671941,0.679187,0.548673,0.729412,0.439716,0.414141,0.25,0.040816,0.047059,0.439716,0.102564,0.040816,0.038462,0.78114,False,0.475,0.0005
4,head,0.631224,0.657826,0.58411,0.732283,0.671941,0.679187,0.548673,0.729412,0.439716,0.414141,0.25,0.040816,0.058824,0.439716,0.102564,0.040816,0.051282,0.779217,False,0.475,0.00014645
5,finetune,0.630138,0.663392,0.535447,0.750656,0.74211,0.73727,0.677966,0.649351,0.70922,0.69697,0.419643,0.163265,0.117647,0.70922,0.230769,0.163265,0.115385,0.871145,False,0.525,0.0002
6,finetune,0.595193,0.695154,0.573391,0.787402,0.775665,0.773622,0.71777,0.705479,0.730496,0.727273,0.392857,0.142857,0.094118,0.730496,0.205128,0.142857,0.076923,0.92969,False,0.25,0.0001866
7,finetune,0.55349,0.727243,0.472299,0.7979,0.782535,0.782948,0.725979,0.728571,0.723404,0.717172,0.366071,0.061224,0.094118,0.723404,0.166667,0.061224,0.076923,0.961944,True,0.375,0.00015
8,finetune,0.533305,0.740341,0.441458,0.824147,0.80922,0.81057,0.759857,0.768116,0.751773,0.777778,0.330357,0.040816,0.105882,0.751773,0.141026,0.040816,0.089744,1.008408,True,0.45,0.0001
9,finetune,0.498712,0.773412,0.431056,0.824147,0.810683,0.811136,0.761566,0.764286,0.758865,0.757576,0.375,0.061224,0.094118,0.758865,0.153846,0.061224,0.089744,1.004425,True,0.45,5e-05
10,finetune,0.47884,0.789784,0.428286,0.83727,0.825488,0.825488,0.780142,0.780142,0.780142,0.787879,0.366071,0.040816,0.082353,0.780142,0.141026,0.040816,0.076923,1.036528,True,0.475,1.34e-05
