epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_f1,val_threshold,lr
1,head,0.6584625783336752,0.6045982244479854,0.6963909545935622,0.5910500664599025,0.5649681722999447,0.44849208719020606,0.4000000000000001,0.0009045084971874737
2,head,0.6296043926237277,0.6325973139084908,0.7110926260132677,0.5899424014178113,0.566656108284837,0.46877673224978617,0.3500000000000001,0.0006545084971874737
3,head,0.617288046645163,0.6323696790348281,0.6892135399973492,0.6038989809481613,0.5792545059801391,0.4933184855233853,0.4000000000000001,0.00034549150281252633
4,head,0.6092968933570909,0.6458001365809242,0.70186225949107,0.6054497120070891,0.5868232197685025,0.5166978359604595,0.3750000000000001,9.549150281252633e-05
5,head,0.5982080690143811,0.6571818802640564,0.7279802449889345,0.6063358440407621,0.5873631826415385,0.5095680699835976,0.3500000000000001,0.0
1,finetune,0.6318693835209421,0.6168905076257682,0.9196841626844419,0.5859548072662827,0.5734477974332293,0.49770827716365595,0.15000000000000002,0.0001923879532511287
2,finetune,0.6167805270157668,0.6403368996130208,0.6844559308433618,0.5943730615861763,0.5783110764250202,0.49931787175989084,0.4250000000000001,0.00017071067811865476
3,finetune,0.5988328784005451,0.637605281129069,0.9903973696978683,0.5861763402747009,0.5859592791716448,0.5274555297757154,0.10000000000000002,0.000138268343236509
4,finetune,0.5977331971677159,0.6485317550648759,0.9321049554954338,0.587948604342047,0.5893146767127864,0.5306122448979592,0.12500000000000003,0.0001
5,finetune,0.5715854778502543,0.6637832916002732,0.8318592100265969,0.6001329198050509,0.6040287653678652,0.5227590058642837,0.3500000000000001,6.173165676349103e-05
6,finetune,0.5724851149321959,0.6712952424311405,0.7973338438707165,0.6127603012848915,0.606426481545715,0.534997287032013,0.32500000000000007,2.9289321881345254e-05
7,finetune,0.5635056854067754,0.6781242886410198,0.7843875057622295,0.6087727071333628,0.6165952470420473,0.547670639219935,0.3000000000000001,7.612046748871327e-06
8,finetune,0.5592902141010303,0.679945367630321,0.8452721467628699,0.6109880372175455,0.6126685727958274,0.5310829817158931,0.32500000000000007,0.0
